"MODULE","LOG_LEVEL","MESSAGE_TEXT","SESSION_ID","USER_ID","TIMESTAMP","LOG_SEQUENCE","ENCODED","NODE","NODE_IP_ADDRESS","PROCESS_ID","JVM_ID","THREAD_ID","AUDSID","DB_INSTANCE","TRANSACTION_CONTEXT_ID","ECID_ID","ECID_SEQ","CALLSTACK","ERRORSTACK"
"fnd.common.WebAppsContext",2,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(): BEGIN/END",806987023,102242,15-MAR-21,143510079,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[Finalizer,8,system]",90032406,1,546124,"",64830,"",""
"fnd.common.WebAppsContext",1,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@12ac22a,806987023): :  (pConn == mConn) is  true, isSplCtx is false, switchGenSol is false",806987023,102242,15-MAR-21,143510082,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[Finalizer,8,system]",90032406,1,546124,"",64833,"",""
"fnd.common.WebAppsContext",2,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@12ac22a,806987023): : BEGIN/END",806987023,102242,15-MAR-21,143510081,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[Finalizer,8,system]",90032406,1,546124,"",64832,"",""
"fnd.common.WebAppsContext",2,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@12ac22a): : BEGIN/END",806987023,102242,15-MAR-21,143510080,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[Finalizer,8,system]",90032406,1,546124,"",64831,"",""
"fnd.functionSecurity.FunctionSecurity",1,"NOT PROXY Session, return immediately",806987023,102242,15-MAR-21,143509867,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[AJPRequestHandler-HTTPThreadGroup-131,5,HTTPThreadGroup]",90048014,1,546124,"",41167,"",""
"fnd.common.WebAppsContext",1,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@1c25cd5,806987023): :  (pConn == mConn) is  true, isSplCtx is false, switchGenSol is false",806987023,102242,15-MAR-21,143510058,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[AJPRequestHandler-HTTPThreadGroup-131,5,HTTPThreadGroup]",90048014,1,546124,"",41184,"",""
"fnd.common.WebAppsContext",2,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@1c25cd5,806987023): : BEGIN/END",806987023,102242,15-MAR-21,143510057,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[AJPRequestHandler-HTTPThreadGroup-131,5,HTTPThreadGroup]",90048014,1,546124,"",41183,"",""
"fnd.common.WebAppsContext",2,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@1c25cd5): : BEGIN/END",806987023,102242,15-MAR-21,143510056,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[AJPRequestHandler-HTTPThreadGroup-131,5,HTTPThreadGroup]",90048014,1,546124,"",41182,"",""
"fnd.common.WebAppsContext",2,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(): BEGIN/END",806987023,102242,15-MAR-21,143510055,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[AJPRequestHandler-HTTPThreadGroup-131,5,HTTPThreadGroup]",90048014,1,546124,"",41181,"",""
"fnd.common.WebAppsContext",1,"oracle.apps.fnd.common.WebAppsContext.releaseJDBCConnection(oracle.jdbc.driver.T4CConnection@1c25cd5,806987023): :  (pConn == mConn) is  true, isSplCtx is false, switchGenSol is false",806987023,102242,15-MAR-21,143510054,"N","seraebsdevapp01.netkzkzvz.vcnlbufp.oraclevcn.com","132.240.134.120","27639","oacore.default_group.2:1756632426","Thread[AJPRequestHandler-HTTPThreadGroup-131,5,HTTPThreadGroup]",90048014,1,546124,"",41177,"",""
